run,score,time_s,max_tile
1,228,8.0,32
2,16,5.0,8
3,28,6.0,8
4,144,7.0,32
5,92,6.0,16
6,52,7.0,16
7,216,7.0,32
8,136,7.0,32
9,84,7.0,16
10,144,6.0,32
11,152,7.0,32
12,148,7.0,32
13,172,7.0,32
14,220,7.0,32
15,64,6.0,16
16,12,5.0,8
17,184,8.0,32
18,60,6.0,16
19,52,6.0,16
20,176,7.0,32
21,48,6.0,16
22,180,7.0,32
23,4,5.0,4
24,80,7.0,16
25,216,7.0,32
26,44,6.0,16
27,168,7.0,32
28,244,8.0,32
29,12,6.0,8
30,180,7.0,32
31,296,8.0,32
32,12,5.0,8
33,232,8.0,32
34,32,6.0,8
35,8,6.0,8
36,148,6.0,32
37,108,7.0,16
38,28,6.0,8
39,180,7.0,32
40,188,7.0,32
41,236,8.0,32
42,20,5.0,8
43,36,6.0,16
44,188,8.0,32
45,200,7.0,32
46,68,6.0,16
47,4,6.0,4
48,4,5.0,4
49,12,6.0,8
50,232,7.0,32
51,104,7.0,16
52,68,6.0,16
53,76,7.0,16
54,60,6.0,16
55,148,7.0,32
56,156,7.0,32
57,64,6.0,16
58,76,6.0,16
59,64,6.0,16
60,16,6.0,8
61,52,6.0,16
62,12,6.0,8
63,48,6.0,16
64,292,7.0,32
65,20,5.0,8
66,52,6.0,16
67,4,6.0,4
68,44,6.0,16
69,284,7.0,32
70,136,7.0,32
71,180,7.0,32
72,196,7.0,32
73,12,6.0,8
74,20,6.0,8
75,12,6.0,8
76,220,7.0,32
77,68,6.0,16
78,168,7.0,32
79,60,6.0,16
80,8,5.0,8
81,56,7.0,16
82,12,5.0,8
83,136,7.0,32
84,12,6.0,8
85,56,6.0,16
86,12,6.0,8
87,288,8.0,32
88,56,6.0,16
89,172,7.0,32
90,16,6.0,8
91,96,6.0,16
92,92,7.0,16
